Serial_No,Device,DaysMonitored,TonerYPerDay,PpY,BCYMPerDay,CostPerBCYM,PpC,TonerBKPerDay,PpBK,PpM,CostPerBW,TonerCPerDay,TonerMPerDay,BWPerDay
E79028A1N380410,Brother MFC-L3750CDW,437,0.16,2360.0,3.78,0.114,2360.0,0.16,2960.0,2360.0,0.021,0.16,0.16,0.96
E79015J0N198445,Brother DCP-L3510CDW,436,0.2,2386.66,4.92,0.107,2386.66,0.25,3336.36,2685.0,0.019,0.2,0.18,3.49
E74552D6J442270,Brother MFC-9142CDN,437,0.84,2362.43,20.0,0.104,2428.05,1.05,2906.52,2300.26,0.017,0.82,0.86,10.59
Q630304940,Kyocera FS-1320D,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,nan,NaN,NaN,NaN
E79028F1N485593,Brother MFC-L3750CDW,433,0.94,2203.41,20.86,0.113,2737.57,1.06,2457.82,2581.14,0.026,0.76,0.8,5.24
E69498J1J225635,Brother MFC-9460CDN,427,0.18,2633.75,4.93,0.152,2107.0,0.25,2457.27,2341.11,0.02,0.23,0.21,1.39
E79028J1N591625,Brother MFC-L3750CDW,259,0.69,2658.33,18.47,0.097,2990.62,0.57,3289.33,2658.33,0.019,0.61,0.69,0.57
L874617332,Kyocera TASKalfa 3051ci,185,0.25,32425.53,82.37,0.008,24580.64,0.24,44344.44,33866.66,0.001,0.33,0.24,25.48
L874820075,Kyocera TASKalfa 3051ci,185,0.52,32038.14,167.98,0.008,23366.16,0.44,61592.68,51795.0,0.001,0.71,0.32,105.02
RC68500334,Kyocera ECOSYS M6635cidn,85,NaN,NaN,3.05,NaN,NaN,0.05,11920.0,8666.66,0.011,NaN,0.03,3.95
E79028K1N618820,Brother MFC-L3750CDW,85,0.23,870.0,2.04,0.273,870.0,0.11,3130.0,870.0,0.02,0.23,0.23,1.63
E79028E1N467527,Brother MFC-L3750CDW,85,NaN,NaN,3.8,NaN,NaN,0.11,4310.0,1076.66,0.014,NaN,0.35,1.27
E79028J1N561454,Brother MFC-L3750CDW,73,0.13,800.0,1.09,NaN,NaN,NaN,NaN,800.0,nan,NaN,0.13,0.28
E79028J0N197622,Brother MFC-L3750CDW,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,nan,NaN,NaN,NaN
E79028D1N429426,Brother MFC-L3750CDW,85,NaN,NaN,0.42,NaN,NaN,0.11,1150.0,NaN,0.055,NaN,NaN,0.92
