Time,User,Page,Data
2023-03-15 10:33:18.985253,Raze,DeviceDetails,"{'ID': 'E79028E1N467527', 'deviceId': False, 'location': 'HA 1.OG Raum11', 'contact': False, 'notes': False}"
2023-03-15 10:37:59.532738,Raze,DeviceDetails,"{'ID': 'L874820075', 'deviceId': False, 'location': False, 'contact': False, 'notes': False}"
2023-03-15 10:38:15.133126,Raze,DeviceDetails,"{'ID': 'L874820075', 'deviceId': False, 'location': 'IT Büro', 'contact': False, 'notes': False}"
2023-03-15 11:07:16.228546,Raze,CartStorage,"{'cart': 'TN-242BK', 'num': '1'}"
2023-03-15 11:07:28.946788,Raze,CartStorage,"{'cart': 'TN-246Y', 'num': '3'}"
2023-03-15 11:07:57.825304,Raze,CartStorage,"{'cart': 'TK-5280C', 'num': '2'}"
2023-03-15 11:08:31.242534,Raze,CartStorage,"{'cart': 'TN-247M', 'num': '2'}"
2023-03-15 11:09:03.280285,Raze,CartStorage,"{'cart': 'TN-247BK', 'num': '4'}"
2023-03-15 11:09:45.464608,Raze,CartStorage,"{'cart': 'TN-247Y', 'num': '3'}"
2023-03-15 11:11:08.363298,Raze,CartStorage,"{'cart': 'TN-246M', 'num': '4'}"
2023-03-15 11:12:37.966800,Raze,CartStorage,"{'cart': 'TN-242BK', 'num': '4'}"
2023-03-15 11:13:32.526152,Raze,CartStorage,"{'cart': 'TN-247C', 'num': '3'}"
2023-03-15 11:13:43.044665,Raze,CartStorage,"{'cart': 'TN-246C', 'num': '3'}"
2023-03-15 11:14:17.507590,Raze,CartStorage,"{'cart': 'TN-246Y', 'num': '1'}"
2023-03-15 11:14:35.697992,Raze,CartStorage,"{'cart': 'TN-246M', 'num': '1'}"
